Tag_IDs,Item,Location
0xe2 0x0 0x51 0x80 0x0 0xe 0x1 0x40 0x13 0x60 0x8e 0x63 ,Dried CranBer,1
0xe2 0x0 0x91 0x54 0x54 0x8 0x1 0x41 0x2 0x0 0xf1 0xc0 ,b,2
0xe2 0x0 0x51 0x80 0x0 0xe 0x1 0x40 0x14 0x20 0x85 0x60 ,Glue gun,4
0xe2 0x0 0x51 0x80 0x0 0xe 0x1 0x40 0x13 0x50 0x90 0xa3 ,M3 Standoffs,1
0xe2 0x0 0x51 0x80 0x0 0xe 0x1 0x40 0x12 0x60 0x97 0x57 ,SpaceFar Book,1
0xe2 0x0 0x0 0x17 0x45 0x18 0x1 0x32 0x25 0x10 0x16 0xe6 ,Drill bits    ,6
0xe2 0x0 0x0 0x17 0x45 0x18 0x1 0x26 0x25 0x10 0x16 0xd7 ,Paint brush   ,7
0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x1 ,Red Box,1
0xe2 0x0 0x51 0x80 0x0 0xe 0x1 0x40 0x12 0x50 0x99 0x87 ,Deodorant,1
0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x4 ,Ramen Noodle,1
